,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-5.1602685140,0.0000000000,-11.5534705702,2.4000000000,2.4000000000,12.384644433516565j,0.0000000000,-11.5534705702,4.8000000000,4.8000000000,24.76928886703313j
1,-5.1602685140,0.0500000000,-11.5510698138,2.3993663557,2.3993663557,12.381374658922692j,0.0353553391,-11.5510698138,4.7987327115,4.7987327115,24.762749317845383j
2,-5.1602685140,0.1000000000,-11.5438745014,2.3974643486,2.3974643486,12.371559791245827j,0.0707106781,-11.5438745014,4.7949286971,4.7949286971,24.743119582491655j
3,-5.1602685140,0.1500000000,-11.5318983239,2.3942888408,2.3942888408,12.355173318472602j,0.1060660172,-11.5318983239,4.7885776816,4.7885776816,24.710346636945204j
4,-5.1602685140,0.2000000000,-11.5151641155,2.3898311938,2.3898311938,12.332170663120941j,0.1414213562,-11.5151641155,4.7796623876,4.7796623876,24.664341326241882j
5,-5.1602685140,0.2500000000,-11.4937038832,2.3840791526,2.3840791526,12.302488585731744j,0.1767766953,-11.4937038832,4.7681583051,4.7681583051,24.60497717146349j
6,-5.1602685140,0.3000000000,-11.4675588510,2.3770166848,2.3770166848,12.266044355704684j,0.2121320344,-11.4675588510,4.7540333696,4.7540333696,24.53208871140937j
7,-5.1602685140,0.3500000000,-11.4367795160,2.3686237767,2.3686237767,12.222734696284778j,0.2474873734,-11.4367795160,4.7372475534,4.7372475534,24.445469392569557j
8,-5.1602685140,0.4000000000,-11.4014257191,2.3588761866,2.3588761866,12.172434513878272j,0.2828427125,-11.4014257191,4.7177523731,4.7177523731,24.344869027756545j
9,-5.1602685140,0.4500000000,-11.3615667299,2.3477451597,2.3477451597,12.114995426359284j,0.3181980515,-11.3615667299,4.6954903194,4.6954903194,24.22999085271857j
10,-5.1602685140,0.5000000000,-11.3172813477,2.3351971081,2.3351971081,12.050244110906249j,0.3535533906,-11.3172813477,4.6703942162,4.6703942162,24.100488221812498j
11,-5.1602685140,0.5500000000,-11.2686580170,2.3211932610,2.3211932610,11.977980499485438j,0.3889087297,-11.2686580170,4.6423865220,4.6423865220,23.955960998970877j
12,-5.1602685140,0.6000000000,-11.2157949596,2.3056892926,2.3056892926,11.897975859685488j,0.4242640687,-11.2157949596,4.6113785852,4.6113785852,23.795951719370976j
13,-5.1602685140,0.6500000000,-11.1588003226,2.2886349380,2.2886349380,11.809970810520957j,0.4596194078,-11.1588003226,4.5772698760,4.5772698760,23.619941621041914j
14,-5.1602685140,0.7000000000,-11.0977923405,2.2699736081,2.2699736081,11.7136733373582j,0.4949747468,-11.0977923405,4.5399472162,4.5399472162,23.4273466747164j
15,-5.1602685140,0.7500000000,-11.0328995113,2.2496420208,2.2496420208,11.60875688753086j,0.5303300859,-11.0328995113,4.4992840416,4.4992840416,23.21751377506172j
16,-5.1602685140,0.8000000000,-10.9642607822,2.2275698673,2.2275698673,11.49485864867724j,0.5656854249,-10.9642607822,4.4551397345,4.4551397345,22.98971729735448j
17,-5.1602685140,0.8500000000,-10.8920257433,2.2036795381,2.2036795381,11.371578135390472j,0.6010407640,-10.8920257433,4.4073590762,4.4073590762,22.743156270780943j
18,-5.1602685140,0.9000000000,-10.8163548211,2.1778859387,2.1778859387,11.238476236263493j,0.6363961031,-10.8163548211,4.3557718773,4.3557718773,22.476952472526985j
19,-5.1602685140,0.9500000000,-10.7374194661,2.1500964286,2.1500964286,11.095074902385736j,0.6717514421,-10.7374194661,4.3001928572,4.3001928572,22.190149804771472j
20,-5.1602685140,1.0000000000,-10.6554023235,2.1202109269,2.1202109269,10.94085768896345j,0.7071067812,-10.6554023235,4.2404218538,4.2404218538,21.8817153779269j
21,-5.1602685140,1.0500000000,-10.5704963841,2.0881213733,2.0881213733,10.775266976134487j,0.7424621202,-10.5704963841,4.1762427467,4.1762427467,21.550533952268975j
22,-5.1602685140,1.1000000000,-10.4829078970,2.0537144748,2.0537144748,10.597718141195378j,0.7778174593,-10.4829078970,4.1074289497,4.1074289497,21.195436282390755j
23,-5.1602685140,1.1500000000,-10.3928541344,2.0168711272,2.0168711272,10.407596574398818j,0.8131727984,-10.3928541344,4.0337422544,4.0337422544,20.815193148797636j
24,-5.1602685140,1.2000000000,-10.3005634086,1.9774675965,1.9774675965,10.204263775759753j,0.8485281374,-10.3005634086,3.9549351931,3.9549351931,20.408527551519505j
25,-5.1602685140,1.2500000000,-10.2062752783,1.9353775371,1.9353775371,9.98706776741266j,0.8838834765,-10.2062752783,3.8707550742,3.8707550742,19.97413553482532j
26,-5.1602685140,1.3000000000,-10.1102402400,1.8904742277,1.8904742277,9.755354633588894j,0.9192388155,-10.1102402400,3.7809484554,3.7809484554,19.510709267177788j
27,-5.1602685140,1.3500000000,-10.0127192432,1.8426333615,1.8426333615,9.508482917925392j,0.9545941546,-10.0127192432,3.6852667229,3.6852667229,19.016965835850783j
28,-5.1602685140,1.4000000000,-9.9139829959,1.7917364269,1.7917364269,9.245841069265092j,0.9899494937,-9.9139829959,3.5834728539,3.5834728539,18.491682138530184j
29,-5.1602685140,1.4500000000,-9.8143110225,1.7376746955,1.7376746955,8.966868018778712j,1.0253048327,-9.8143110225,3.4753493910,3.4753493910,17.933736037557424j
30,-5.1602685140,1.5000000000,-9.7139904397,1.6803538027,1.6803538027,8.671076820359024j,1.0606601718,-9.7139904397,3.3607076054,3.3607076054,17.34215364071805j
31,-5.1602685140,1.5500000000,-9.6133144177,1.6196988718,1.6196988718,8.358081090357775j,1.0960155108,-9.6133144177,3.2393977436,3.2393977436,16.71616218071555j
32,-5.1602685140,1.6000000000,-9.5125802985,1.5556600827,1.5556600827,8.027623743434482j,1.1313708499,-9.5125802985,3.1113201655,3.1113201655,16.055247486868964j
33,-5.1602685140,1.6500000000,-9.4120873562,1.4882185346,1.4882185346,7.679607245829803j,1.1667261890,-9.4120873562,2.9764370691,2.9764370691,15.359214491659605j
34,-5.1602685140,1.7000000000,-9.3121341909,1.4173921939,1.4173921939,7.314124310285432j,1.2020815280,-9.3121341909,2.8347843879,2.8347843879,14.628248620570863j
35,-5.1602685140,1.7500000000,-9.2130157704,1.3432416630,1.3432416630,6.931487660049342j,1.2374368671,-9.2130157704,2.6864833259,2.6864833259,13.862975320098684j
36,-5.1602685140,1.8000000000,-9.1150201496,1.2658754495,1.2658754495,6.532257224620121j,1.2727922061,-9.1150201496,2.5317508990,2.5317508990,13.064514449240242j
37,-5.1602685140,1.8500000000,-9.0184249209,1.1854543839,1.1854543839,6.117262931825993j,1.3081475452,-9.0184249209,2.3709087677,2.3709087677,12.234525863651985j
38,-5.1602685140,1.9000000000,-8.9234934747,1.1021948095,1.1021948095,5.687621171889748j,1.3435028843,-8.9234934747,2.2043896191,2.2043896191,11.375242343779496j
39,-5.1602685140,1.9500000000,-8.8304711715,1.0163701852,1.0163701852,5.244743065063535j,1.3788582233,-8.8304711715,2.0327403703,2.0327403703,10.48948613012707j
40,-5.1602685140,2.0000000000,-8.7395815468,0.9283107812,0.9283107812,4.790332895359011j,1.4142135624,-8.7395815468,1.8566215624,1.8566215624,9.580665790718022j
41,-5.1602685140,2.0500000000,-8.6510232931,0.8384008936,0.8384008936,4.3263737331760375j,1.4495689014,-8.6510232931,1.6768017871,1.6768017871,8.652747466352075j
42,-5.1602685140,2.1000000000,-8.5649659076,0.7470751464,0.7470751464,3.8551083557847035j,1.4849242405,-8.5649659076,1.4941502929,1.4941502929,7.710216711569407j
43,-5.1602685140,2.1500000000,-8.4815465222,0.6548110771,0.6548110771,3.37900098373654j,1.5202795796,-8.4815465222,1.3096221542,1.3096221542,6.75800196747308j
44,-5.1602685140,2.2000000000,-8.4008690935,0.5621194252,0.5621194252,2.9006871711964397j,1.5556349186,-8.4008690935,1.1242388505,1.1242388505,5.801374342392879j
45,-5.1602685140,2.2500000000,-8.3230023233,0.4695338832,0.4695338832,2.4229209138109575j,1.5909902577,-8.3230023233,0.9390677664,0.9390677664,4.845841827621915j
46,-5.1602685140,2.3000000000,-8.2479790030,0.3775991306,0.3775991306,1.9485129047750172j,1.6263455967,-8.2479790030,0.7551982613,0.7551982613,3.8970258095500343j
47,-5.1602685140,2.3500000000,-8.1757962263,0.2868582197,0.2868582197,1.480265438924725j,1.6617009358,-8.1757962263,0.5737164393,0.5737164393,2.96053087784945j
48,-5.1602685140,2.4000000000,-8.1064164774,0.1978399542,0.1978399542,1.0209072865387319j,1.6970562748,-8.1064164774,0.3956799084,0.3956799084,2.0418145730774637j
49,-5.1602685140,2.4500000000,-8.0397695536,0.1110469082,0.1110469082,0.5730318640865945j,1.7324116139,-8.0397695536,0.2220938164,0.2220938164,1.146063728173189j
50,-5.1602685140,2.5000000000,-7.9757552425,0.0269446725,0.0269446725,0.1390417451686362j,1.7677669530,-7.9757552425,0.0538893450,0.0538893450,0.2780834903372724j
51,-5.1602685140,2.5500000000,-7.9142466358,-0.0540471839,-0.0540471839,(-0-0.2788979814250087j),1.8031222920,-7.9142466358,-0.1080943678,-0.1080943678,-0.5577959628500174j
52,-5.1602685140,2.6000000000,-7.8550939351,-0.1315620918,-0.1315620918,(-0-0.6788957199411161j),1.8384776311,-7.8550939351,-0.2631241836,-0.2631241836,-1.3577914398822322j
53,-5.1602685140,2.6500000000,-7.7981285920,-0.2052912110,-0.2052912110,(-0-1.0593577725633276j),1.8738329701,-7.7981285920,-0.4105824221,-0.4105824221,-2.1187155451266553j
54,-5.1602685140,2.7000000000,-7.7431676179,-0.2749858829,-0.2749858829,(-0-1.41900099316206j),1.9091883092,-7.7431676179,-0.5499717657,-0.5499717657,-2.83800198632412j
55,-5.1602685140,2.7500000000,-7.6900179051,-0.3404579203,-0.3404579203,(-0-1.7568542862278684j),1.9445436483,-7.6900179051,-0.6809158405,-0.6809158405,-3.513708572455737j
56,-5.1602685140,2.8000000000,-7.6384804186,-0.4015779694,-0.4015779694,(-0-2.0722501513667364j),1.9798989873,-7.6384804186,-0.8031559388,-0.8031559388,-4.144500302733473j
57,-5.1602685140,2.8500000000,-7.5883541360,-0.4582722574,-0.4582722574,(-0-2.364807900829299j),2.0152543264,-7.5883541360,-0.9165445149,-0.9165445149,-4.729615801658598j
