,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-2.8248739114,0.0000000000,-6.4214659863,1.7000000000,1.7000000000,4.802285649410882j,0.0000000000,-6.4214659863,3.4000000000,3.4000000000,9.604571298821764j
1,-2.8248739114,0.0500000000,-6.4202597514,1.6994984861,1.6994984861,4.800868935873436j,0.0353553391,-6.4202597514,3.3989969722,3.3989969722,9.601737871746872j
2,-2.8248739114,0.1000000000,-6.4166488893,1.6979954001,1.6979954001,4.796622907422551j,0.0707106781,-6.4166488893,3.3959908002,3.3959908002,9.593245814845101j
3,-2.8248739114,0.1500000000,-6.4106410596,1.6954885263,1.6954885263,4.789541305074787j,0.1060660172,-6.4106410596,3.3909770526,3.3909770526,9.579082610149573j
4,-2.8248739114,0.2000000000,-6.4022490142,1.6919741757,1.6919741757,4.779613707711827j,0.1414213562,-6.4022490142,3.3839483514,3.3839483514,9.559227415423655j
5,-2.8248739114,0.2500000000,-6.3914905916,1.6874471869,1.6874471869,4.766825535221673j,0.1767766953,-6.3914905916,3.3748943738,3.3748943738,9.533651070443346j
6,-2.8248739114,0.3000000000,-6.3783887110,1.6819009290,1.6819009290,4.751158056028094j,0.2121320344,-6.3783887110,3.3638018581,3.3638018581,9.502316112056189j
7,-2.8248739114,0.3500000000,-6.3629713625,1.6753273068,1.6753273068,4.732588402159119j,0.2474873734,-6.3629713625,3.3506546137,3.3506546137,9.465176804318238j
8,-2.8248739114,0.4000000000,-6.3452684941,1.6677153225,1.6677153225,4.711085506098655j,0.2828427125,-6.3452684941,3.3354306449,3.3354306449,9.42217101219731j
9,-2.8248739114,0.4500000000,-6.3253196310,1.6590545371,1.6590545371,4.686619879424751j,0.3181980515,-6.3253196310,3.3181090742,3.3181090742,9.373239758849502j
10,-2.8248739114,0.5000000000,-6.3031697773,1.6493333783,1.6493333783,4.659158831497895j,0.3535533906,-6.3031697773,3.2986667565,3.2986667565,9.31831766299579j
11,-2.8248739114,0.5500000000,-6.2788670793,1.6385380490,1.6385380490,4.6286633874373155j,0.3889087297,-6.2788670793,3.2770760980,3.2770760980,9.257326774874631j
12,-2.8248739114,0.6000000000,-6.2524646499,1.6266534176,1.6266534176,4.5950908022357595j,0.4242640687,-6.2524646499,3.2533068352,3.2533068352,9.190181604471519j
13,-2.8248739114,0.6500000000,-6.2240205309,1.6136630815,1.6136630815,4.558394740772008j,0.4596194078,-6.2240205309,3.2273261630,3.2273261630,9.116789481544016j
14,-2.8248739114,0.7000000000,-6.1935976466,1.5995494509,1.5995494509,4.518525514011255j,0.4949747468,-6.1935976466,3.1990989019,3.1990989019,9.03705102802251j
15,-2.8248739114,0.7500000000,-6.1612627018,1.5842931954,1.5842931954,4.47542851567266j,0.5303300859,-6.1612627018,3.1685863908,3.1685863908,8.95085703134532j
16,-2.8248739114,0.8000000000,-6.1270864789,1.5678734144,1.5678734144,4.4290447047788595j,0.5656854249,-6.1270864789,3.1357468288,3.1357468288,8.858089409557719j
17,-2.8248739114,0.8500000000,-6.0911493026,1.5502715659,1.5502715659,4.37932170212656j,0.6010407640,-6.0911493026,3.1005431318,3.1005431318,8.75864340425312j
18,-2.8248739114,0.9000000000,-6.0535329664,1.5314666775,1.5314666775,4.326200263577093j,0.6363961031,-6.0535329664,3.0629333551,3.0629333551,8.652400527154185j
19,-2.8248739114,0.9500000000,-6.0143237257,1.5114374458,1.5114374458,4.269620209404426j,0.6717514421,-6.0143237257,3.0228748916,3.0228748916,8.539240418808852j
20,-2.8248739114,1.0000000000,-5.9736121603,1.4901625231,1.4901625231,4.209521235295592j,0.7071067812,-5.9736121603,2.9803250462,2.9803250462,8.419042470591185j
21,-2.8248739114,1.0500000000,-5.9314930143,1.4676208526,1.4676208526,4.145843858244129j,0.7424621202,-5.9314930143,2.9352417051,2.9352417051,8.291687716488259j
22,-2.8248739114,1.1000000000,-5.8880650080,1.4437920537,1.4437920537,4.078530506035566j,0.7778174593,-5.8880650080,2.8875841074,2.8875841074,8.157061012071132j
23,-2.8248739114,1.1500000000,-5.8434284789,1.4186542781,1.4186542781,4.007519459636601j,0.8131727984,-5.8434284789,2.8373085563,2.8373085563,8.015038919273202j
24,-2.8248739114,1.2000000000,-5.7976917526,1.3921920635,1.3921920635,3.9327670397970924j,0.8485281374,-5.7976917526,2.7843841270,2.7843841270,7.865534079594185j
25,-2.8248739114,1.2500000000,-5.7509643571,1.3643902463,1.3643902463,3.854230411753474j,0.8838834765,-5.7509643571,2.7287804926,2.7287804926,7.708460823506948j
26,-2.8248739114,1.3000000000,-5.7033584219,1.3352361058,1.3352361058,3.7718736408114184j,0.9192388155,-5.7033584219,2.6704722116,2.6704722116,7.543747281622837j
