,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-4.4551732511,0.0000000000,-8.9804502590,2.0000000000,2.0000000000,8.910346502204035j,0.0000000000,-8.9804502590,4.0000000000,4.0000000000,17.82069300440807j
1,-4.4551732511,0.0500000000,-8.9787815068,1.9995616712,1.9995616712,8.908393671489888j,0.0353553391,-8.9787815068,3.9991233424,3.9991233424,17.816787342979776j
2,-4.4551732511,0.1000000000,-8.9737838299,1.9982483402,1.9982483402,8.902542554279249j,0.0707106781,-8.9737838299,3.9964966804,3.9964966804,17.805085108558497j
3,-4.4551732511,0.1500000000,-8.9654650954,1.9960602844,1.9960602844,8.892794386817053j,0.1060660172,-8.9654650954,3.9921205689,3.9921205689,17.785588773634107j
4,-4.4551732511,0.2000000000,-8.9538383899,1.9929979690,1.9929979690,8.87915124088108j,0.1414213562,-8.9538383899,3.9859959380,3.9859959380,17.75830248176216j
5,-4.4551732511,0.2500000000,-8.9389187606,1.9890611862,1.9890611862,8.861612191592277j,0.1767766953,-8.9389187606,3.9781223724,3.9781223724,17.723224383184554j
6,-4.4551732511,0.3000000000,-8.9207303680,1.9842509643,1.9842509643,8.840181819804704j,0.2121320344,-8.9207303680,3.9685019287,3.9685019287,17.680363639609407j
7,-4.4551732511,0.3500000000,-8.8993044213,1.9785690610,1.9785690610,8.814867955813678j,0.2474873734,-8.8993044213,3.9571381219,3.9571381219,17.629735911627357j
8,-4.4551732511,0.4000000000,-8.8746745803,1.9720167556,1.9720167556,8.785676300343075j,0.2828427125,-8.8746745803,3.9440335112,3.9440335112,17.57135260068615j
9,-4.4551732511,0.4500000000,-8.8468789012,1.9645953886,1.9645953886,8.752612824477314j,0.3181980515,-8.8468789012,3.9291907772,3.9291907772,17.505225648954628j
10,-4.4551732511,0.5000000000,-8.8159567192,1.9563055080,1.9563055080,8.715679970378744j,0.3535533906,-8.8159567192,3.9126110161,3.9126110161,17.43135994075749j
11,-4.4551732511,0.5500000000,-8.7819615466,1.9471505163,1.9471505163,8.674892896127805j,0.3889087297,-8.7819615466,3.8943010326,3.8943010326,17.34978579225561j
12,-4.4551732511,0.6000000000,-8.7449466221,1.9371327190,1.9371327190,8.630261873325454j,0.4242640687,-8.7449466221,3.8742654379,3.8742654379,17.260523746650907j
13,-4.4551732511,0.6500000000,-8.7049698452,1.9262547323,1.9262547323,8.581798558147772j,0.4596194078,-8.7049698452,3.8525094646,3.8525094646,17.163597116295545j
14,-4.4551732511,0.7000000000,-8.6620903068,1.9145185000,1.9145185000,8.529511610029974j,0.4949747468,-8.6620903068,3.8290370000,3.8290370000,17.05902322005995j
15,-4.4551732511,0.7500000000,-8.6163767531,1.9019278620,1.9019278620,8.473418136304673j,0.5303300859,-8.6163767531,3.8038557240,3.8038557240,16.946836272609346j
16,-4.4551732511,0.8000000000,-8.5679021275,1.8884870755,1.8884870755,8.4135371038089j,0.5656854249,-8.5679021275,3.7769741510,3.7769741510,16.8270742076178j
17,-4.4551732511,0.8500000000,-8.5167417921,1.8742003370,1.8742003370,8.349887208744661j,0.6010407640,-8.5167417921,3.7484006741,3.7484006741,16.699774417489323j
18,-4.4551732511,0.9000000000,-8.4629741331,1.8590720189,1.8590720189,8.282487930359101j,0.6363961031,-8.4629741331,3.7181440377,3.7181440377,16.564975860718203j
19,-4.4551732511,0.9500000000,-8.4066800169,1.8431065464,1.8431065464,8.211358984346974j,0.6717514421,-8.4066800169,3.6862130928,3.6862130928,16.42271796869395j
20,-4.4551732511,1.0000000000,-8.3479499954,1.8263109655,1.8263109655,8.13653176160157j,0.7071067812,-8.3479499954,3.6526219310,3.6526219310,16.27306352320314j
21,-4.4551732511,1.0500000000,-8.2868744791,1.8086918277,1.8086918277,8.058035450473868j,0.7424621202,-8.2868744791,3.6173836555,3.6173836555,16.116070900947737j
22,-4.4551732511,1.1000000000,-8.2235471818,1.7902564356,1.7902564356,7.975902584543214j,0.7778174593,-8.2235471818,3.5805128712,3.5805128712,15.951805169086429j
23,-4.4551732511,1.1500000000,-8.1580620793,1.7710118157,1.7710118157,7.890164468475347j,0.8131727984,-8.1580620793,3.5420236313,3.5420236313,15.780328936950694j
24,-4.4551732511,1.2000000000,-8.0905211995,1.7509678190,1.7509678190,7.8008649906187975j,0.8485281374,-8.0905211995,3.5019356379,3.5019356379,15.601729981237595j
