,E,r_ours,U_our,sigma_ours,Psi_ours(t=0),dot_Psi_ours(t=0),r_yours,U_yours,sigma_yours,Psi_yours(t=0),dot_Psi_yours(t=0)
0,-4.0732979160,0.0000000000,-8.2093457669,1.9000000000,1.9000000000,7.739266040366293j,0.0000000000,-8.2093457669,3.8000000000,3.8000000000,15.478532080732586j
1,-4.0732979160,0.0500000000,-8.2078400635,1.8995830737,1.8995830737,7.737567775235605j,0.0353553391,-8.2078400635,3.7991661474,3.7991661474,15.47513555047121j
2,-4.0732979160,0.1000000000,-8.2033295357,1.8983335648,1.8983335648,7.732478153483129j,0.0707106781,-8.2033295357,3.7966671297,3.7966671297,15.464956306966258j
3,-4.0732979160,0.1500000000,-8.1958212977,1.8962517908,1.8962517908,7.723998467503644j,0.1060660172,-8.1958212977,3.7925035815,3.7925035815,15.447996935007287j
4,-4.0732979160,0.2000000000,-8.1853271850,1.8933382832,1.8933382832,7.7121308833348605j,0.1414213562,-8.1853271850,3.7866765665,3.7866765665,15.424261766669721j
5,-4.0732979160,0.2500000000,-8.1718637330,1.8895937934,1.8895937934,7.696878460677973j,0.1767766953,-8.1718637330,3.7791875868,3.7791875868,15.393756921355946j
6,-4.0732979160,0.3000000000,-8.1554510318,1.8850189831,1.8850189831,7.678243895361532j,0.2121320344,-8.1554510318,3.7700379662,3.7700379662,15.356487790723063j
7,-4.0732979160,0.3500000000,-8.1361131064,1.8796145403,1.8796145403,7.656229989705225j,0.2474873734,-8.1361131064,3.7592290805,3.7592290805,15.31245997941045j
8,-4.0732979160,0.4000000000,-8.1138833874,1.8733827708,1.8733827708,7.630846135972695j,0.2828427125,-8.1138833874,3.7467655415,3.7467655415,15.26169227194539j
9,-4.0732979160,0.4500000000,-8.0887968276,1.8663253969,1.8663253969,7.602099349647502j,0.3181980515,-8.0887968276,3.7326507938,3.7326507938,15.204198699295004j
10,-4.0732979160,0.5000000000,-8.0608928350,1.8584444187,1.8584444187,7.569997777681034j,0.3535533906,-8.0608928350,3.7168888374,3.7168888374,15.139995555362068j
11,-4.0732979160,0.5500000000,-8.0302151975,1.8497421337,1.8497421337,7.534550778104507j,0.3889087297,-8.0302151975,3.6994842673,3.6994842673,15.069101556209015j
12,-4.0732979160,0.6000000000,-7.9968099609,1.8402205376,1.8402205376,7.495766480725243j,0.4242640687,-7.9968099609,3.6804410752,3.6804410752,14.991532961450487j
13,-4.0732979160,0.6500000000,-7.9607298642,1.8298827031,1.8298827031,7.45365740089967j,0.4596194078,-7.9607298642,3.6597654061,3.6597654061,14.90731480179934j
14,-4.0732979160,0.7000000000,-7.9220330423,1.8187324918,1.8187324918,7.408239268577404j,0.4949747468,-7.9220330423,3.6374649836,3.6374649836,14.816478537154808j
15,-4.0732979160,0.7500000000,-7.8807798809,1.8067736534,1.8067736534,7.359527356862296j,0.5303300859,-7.8807798809,3.6135473067,3.6135473067,14.719054713724592j
16,-4.0732979160,0.8000000000,-7.8370346309,1.7940103838,1.7940103838,7.307538757670124j,0.5656854249,-7.8370346309,3.5880207676,3.5880207676,14.615077515340248j
17,-4.0732979160,0.8500000000,-7.7908652778,1.7804473675,1.7804473675,7.252292551524454j,0.6010407640,-7.7908652778,3.5608947350,3.5608947350,14.504585103048909j
18,-4.0732979160,0.9000000000,-7.7423407982,1.7660889215,1.7660889215,7.193806323413776j,0.6363961031,-7.7423407982,3.5321778430,3.5321778430,14.387612646827552j
19,-4.0732979160,0.9500000000,-7.6915384353,1.7509415653,1.7509415653,7.132106628796126j,0.6717514421,-7.6915384353,3.5018831305,3.5018831305,14.264213257592251j
20,-4.0732979160,1.0000000000,-7.6385371173,1.7350119487,1.7350119487,7.067220554710915j,0.7071067812,-7.6385371173,3.4700238973,3.4700238973,14.13444110942183j
21,-4.0732979160,1.0500000000,-7.5834182891,1.7183072190,1.7183072190,6.999177214173636j,0.7424621202,-7.5834182891,3.4366144380,3.4366144380,13.998354428347271j
22,-4.0732979160,1.1000000000,-7.5262663368,1.7008352887,1.7008352887,6.928008836885054j,0.7778174593,-7.5262663368,3.4016705774,3.4016705774,13.856017673770108j
23,-4.0732979160,1.1500000000,-7.4671681686,1.6826048106,1.6826048106,6.853750668364727j,0.8131727984,-7.4671681686,3.3652096212,3.3652096212,13.707501336729454j
24,-4.0732979160,1.2000000000,-7.4062114898,1.6636245946,1.6636245946,6.7764385940443415j,0.8485281374,-7.4062114898,3.3272491891,3.3272491891,13.552877188088683j
25,-4.0732979160,1.2500000000,-7.3434908373,1.6439062485,1.6439062485,6.6961198960713j,0.8838834765,-7.3434908373,3.2878124970,3.2878124970,13.3922397921426j
26,-4.0732979160,1.3000000000,-7.2791004088,1.6234614791,1.6234614791,6.612842259389313j,0.9192388155,-7.2791004088,3.2469229581,3.2469229581,13.225684518778626j
27,-4.0732979160,1.3500000000,-7.2131363151,1.6023031401,1.6023031401,6.526658041506748j,0.9545941546,-7.2131363151,3.2046062803,3.2046062803,13.053316083013495j
28,-4.0732979160,1.4000000000,-7.1456963487,1.5804453168,1.5804453168,6.437624615378023j,0.9899494937,-7.1456963487,3.1608906337,3.1608906337,12.875249230756046j
29,-4.0732979160,1.4500000000,-7.0768790962,1.5579030726,1.5579030726,6.345803338750945j,1.0253048327,-7.0768790962,3.1158061451,3.1158061451,12.69160667750189j
30,-4.0732979160,1.5000000000,-7.0067846793,1.5346929852,1.5346929852,6.251261738359111j,1.0606601718,-7.0067846793,3.0693859704,3.0693859704,12.502523476718222j
31,-4.0732979160,1.5500000000,-6.9355156896,1.5108339556,1.5108339556,6.154076802591946j,1.0960155108,-6.9355156896,3.0216679111,3.0216679111,12.308153605183891j
32,-4.0732979160,1.6000000000,-6.8631741629,1.4863458356,1.4863458356,6.0543293946667704j,1.1313708499,-6.8631741629,2.9726916712,2.9726916712,12.108658789333541j
33,-4.0732979160,1.6500000000,-6.7898625380,1.4612501127,1.4612501127,5.952107038828418j,1.1667261890,-6.7898625380,2.9225002254,2.9225002254,11.904214077656835j
34,-4.0732979160,1.7000000000,-6.7156833829,1.4355699761,1.4355699761,5.8475041916975625j,1.2020815280,-6.7156833829,2.8711399521,2.8711399521,11.695008383395125j
35,-4.0732979160,1.7500000000,-6.6407385275,1.4093299017,1.4093299017,5.740620551384073j,1.2374368671,-6.6407385275,2.8186598033,2.8186598033,11.481241102768147j
36,-4.0732979160,1.8000000000,-6.5651304379,1.3825569095,1.3825569095,5.6315661781331166j,1.2727922061,-6.5651304379,2.7651138190,2.7651138190,11.263132356266233j
37,-4.0732979160,1.8500000000,-6.4889607765,1.3552798893,1.3552798893,5.520458748575671j,1.3081475452,-6.4889607765,2.7105597786,2.7105597786,11.040917497151343j
38,-4.0732979160,1.9000000000,-6.4123298172,1.3275293045,1.3275293045,5.4074223495884866j,1.3435028843,-6.4123298172,2.6550586091,2.6550586091,10.814844699176973j
39,-4.0732979160,1.9500000000,-6.3353365537,1.2993374810,1.2993374810,5.292588653525063j,1.3788582233,-6.3353365537,2.5986749620,2.5986749620,10.585177307050126j
40,-4.0732979160,2.0000000000,-6.2580784206,1.2707385905,1.2707385905,5.176096852414482j,1.4142135624,-6.2580784206,2.5414771810,2.5414771810,10.352193704828965j
41,-4.0732979160,2.0500000000,-6.1806509212,1.2417681912,1.2417681912,5.058091785387785j,1.4495689014,-6.1806509212,2.4835363824,2.4835363824,10.11618357077557j
42,-4.0732979160,2.1000000000,-6.1031478808,1.2124645002,1.2124645002,4.938729121795303j,1.4849242405,-6.1031478808,2.4249290004,2.4249290004,9.877458243590606j
43,-4.0732979160,2.1500000000,-6.0256604473,1.1828669780,1.1828669780,4.818169596249657j,1.5202795796,-6.0256604473,2.3657339559,2.3657339559,9.636339192499314j
44,-4.0732979160,2.2000000000,-5.9482771335,1.1530166046,1.1530166046,4.696580132704129j,1.5556349186,-5.9482771335,2.3060332092,2.3060332092,9.393160265408259j
45,-4.0732979160,2.2500000000,-5.8710836017,1.1229558013,1.1229558013,4.5741335252494375j,1.5909902577,-5.8710836017,2.2459116026,2.2459116026,9.148267050498875j
46,-4.0732979160,2.3000000000,-5.7941625283,1.0927282499,1.0927282499,4.451007702865596j,1.6263455967,-5.7941625283,2.1854564997,2.1854564997,8.902015405731191j
47,-4.0732979160,2.3500000000,-5.7175936596,1.0623787461,1.0623787461,4.327385132638303j,1.6617009358,-5.7175936596,2.1247574923,2.1247574923,8.654770265276605j
48,-4.0732979160,2.4000000000,-5.6414525026,1.0319532405,1.0319532405,4.203452983925923j,1.6970562748,-5.6414525026,2.0639064810,2.0639064810,8.406905967851847j
49,-4.0732979160,2.4500000000,-5.5658112363,1.0014982034,1.0014982034,4.07940054460176j,1.7324116139,-5.5658112363,2.0029964067,2.0029964067,8.15880108920352j
50,-4.0732979160,2.5000000000,-5.4907382479,0.9710605856,0.9710605856,3.9554190596015695j,1.7677669530,-5.4907382479,1.9421211712,1.9421211712,7.910838119203139j
51,-4.0732979160,2.5500000000,-5.4162980051,0.9406875735,0.9406875735,3.8317007327229j,1.8031222920,-5.4162980051,1.8813751470,1.8813751470,7.6634014654458j
52,-4.0732979160,2.6000000000,-5.3425514252,0.9104264322,0.9104264322,3.7084380888532382j,1.8384776311,-5.3425514252,1.8208528644,1.8208528644,7.4168761777064764j
53,-4.0732979160,2.6500000000,-5.2695550538,0.8803241550,0.8803241550,3.585822546074285j,1.8738329701,-5.2695550538,1.7606483101,1.7606483101,7.17164509214857j
54,-4.0732979160,2.7000000000,-5.1973605197,0.8504269769,0.8504269769,3.464042432680966j,1.9091883092,-5.1973605197,1.7008539538,1.7008539538,6.928084865361932j
55,-4.0732979160,2.7500000000,-5.1260157910,0.8207803925,0.8207803925,3.3432830621114857j,1.9445436483,-5.1260157910,1.6415607849,1.6415607849,6.6865661242229715j
56,-4.0732979160,2.8000000000,-5.0555646359,0.7914288038,0.7914288038,3.223725297023964j,1.9798989873,-5.0555646359,1.5828576075,1.5828576075,6.447450594047928j
57,-4.0732979160,2.8500000000,-4.9860466381,0.7624152610,0.7624152610,3.1055444937916095j,2.0152543264,-4.9860466381,1.5248305220,1.5248305220,6.211088987583219j
58,-4.0732979160,2.9000000000,-4.9174982498,0.7337816386,0.7337816386,2.988911219222449j,2.0506096654,-4.9174982498,1.4675632772,1.4675632772,5.977822438444898j
59,-4.0732979160,2.9500000000,-4.8499502683,0.7055673806,0.7055673806,2.873986141173721j,2.0859650045,-4.8499502683,1.4111347613,1.4111347613,5.747972282347442j
60,-4.0732979160,3.0000000000,-4.7834296625,0.6778098996,0.6778098996,2.7609216515974175j,2.1213203436,-4.7834296625,1.3556197993,1.3556197993,5.521843303194835j
61,-4.0732979160,3.0500000000,-4.7179598804,0.6505445102,0.6505445102,2.649861597801742j,2.1566756826,-4.7179598804,1.3010890205,1.3010890205,5.299723195603484j
62,-4.0732979160,3.1000000000,-4.6535605957,0.6238041114,0.6238041114,2.540939986981098j,2.1920310217,-4.6535605957,1.2476082228,1.2476082228,5.081879973962196j
63,-4.0732979160,3.1500000000,-4.5902478449,0.5976190403,0.5976190403,2.4342803912319555j,2.2273863607,-4.5902478449,1.1952380805,1.1952380805,4.868560782463911j
64,-4.0732979160,3.2000000000,-4.5280357224,0.5720177994,0.5720177994,2.3299989100918492j,2.2627416998,-4.5280357224,1.1440355987,1.1440355987,4.6599978201836985j
65,-4.0732979160,3.2500000000,-4.4669319344,0.5470244889,0.5470244889,2.2281937105341405j,2.2980970389,-4.4669319344,1.0940489778,1.0940489778,4.456387421068281j
66,-4.0732979160,3.3000000000,-4.4069425409,0.5226611396,0.5226611396,2.1289545308849807j,2.3334523779,-4.4069425409,1.0453222793,1.0453222793,4.257909061769961j
67,-4.0732979160,3.3500000000,-4.3480706411,0.4989469124,0.4989469124,2.0323594183080953j,2.3688077170,-4.3480706411,0.9978938247,0.9978938247,4.064718836616191j
68,-4.0732979160,3.4000000000,-4.2903165544,0.4758980854,0.4758980854,1.9384746794238423j,2.4041630560,-4.2903165544,0.9517961708,0.9517961708,3.8769493588476847j
69,-4.0732979160,3.4500000000,-4.2336784289,0.4535283307,0.4535283307,1.8473560043676946j,2.4395183951,-4.2336784289,0.9070566614,0.9070566614,3.6947120087353893j
70,-4.0732979160,3.5000000000,-4.1781523072,0.4318486977,0.4318486977,1.7590484004172648j,2.4748737342,-4.1781523072,0.8636973954,0.8636973954,3.5180968008345297j
71,-4.0732979160,3.5500000000,-4.1237301727,0.4108663099,0.4108663099,1.6735808840480035j,2.5102290732,-4.1237301727,0.8217326199,0.8217326199,3.347161768096007j
72,-4.0732979160,3.6000000000,-4.0704031399,0.3905863112,0.3905863112,1.5909744074855574j,2.5455844123,-4.0704031399,0.7811726224,0.7811726224,3.181948814971115j
73,-4.0732979160,3.6500000000,-4.0181605025,0.3710112738,0.3710112738,1.5112394482105296j,2.5809397513,-4.0181605025,0.7420225475,0.7420225475,3.022478896421059j
74,-4.0732979160,3.7000000000,-3.9669899163,0.3521413171,0.3521413171,1.4343764930617195j,2.6162950904,-3.9669899163,0.7042826342,0.7042826342,2.868752986123439j
75,-4.0732979160,3.7500000000,-3.9168783678,0.3339747688,0.3339747688,1.3603787295415044j,2.6516504294,-3.9168783678,0.6679495375,0.6679495375,2.720757459083009j
76,-4.0732979160,3.8000000000,-3.8678106127,0.3165071567,0.3165071567,1.289227941610674j,2.6870057685,-3.8678106127,0.6330143133,0.6330143133,2.578455883221348j
77,-4.0732979160,3.8500000000,-3.8197697539,0.2997316170,0.2997316170,1.2208961707196708j,2.7223611076,-3.8197697539,0.5994632339,0.5994632339,2.4417923414393417j
78,-4.0732979160,3.9000000000,-3.7727386068,0.2836398692,0.2836398692,1.1553496880221865j,2.7577164466,-3.7727386068,0.5672797384,0.5672797384,2.310699376044373j
79,-4.0732979160,3.9500000000,-3.7266991678,0.2682219259,0.2682219259,1.092547811786323j,2.7930717857,-3.7266991678,0.5364438518,0.5364438518,2.185095623572646j
80,-4.0732979160,4.0000000000,-3.6816327513,0.2534662554,0.2534662554,1.0324435700100871j,2.8284271247,-3.6816327513,0.5069325109,0.5069325109,2.0648871400201743j
81,-4.0732979160,4.0500000000,-3.6375211823,0.2393606670,0.2393606670,0.9749873058642619j,2.8637824638,-3.6375211823,0.4787213339,0.4787213339,1.9499746117285237j
82,-4.0732979160,4.1000000000,-3.5943439206,0.2258904305,0.2258904305,0.9201190198848249j,2.8991378029,-3.5943439206,0.4517808610,0.4517808610,1.8402380397696498j
83,-4.0732979160,4.1500000000,-3.5520807217,0.2130401728,0.2130401728,0.8677760920750041j,2.9344931419,-3.5520807217,0.4260803457,0.4260803457,1.7355521841500081j
84,-4.0732979160,4.2000000000,-3.5107113679,0.2007937782,0.2007937782,0.8178928781038349j,2.9698484810,-3.5107113679,0.4015875563,0.4015875563,1.6357857562076699j
85,-4.0732979160,4.2500000000,-3.4702155111,0.1891343646,0.1891343646,0.770400613007423j,3.0052038200,-3.4702155111,0.3782687291,0.3782687291,1.540801226014846j
86,-4.0732979160,4.3000000000,-3.4305728553,0.1780444892,0.1780444892,0.7252282468085667j,3.0405591591,-3.4305728553,0.3560889784,0.3560889784,1.4504564936171334j
87,-4.0732979160,4.3500000000,-3.3917639668,0.1675067593,0.1675067593,0.6823049335029839j,3.0759144982,-3.3917639668,0.3350135186,0.3350135186,1.3646098670059679j
88,-4.0732979160,4.4000000000,-3.3537674803,0.1575020692,0.1575020692,0.641552850125161j,3.1112698372,-3.3537674803,0.3150041383,0.3150041383,1.283105700250322j
89,-4.0732979160,4.4500000000,-3.3165632737,0.1480117846,0.1480117846,0.6028960936987386j,3.1466251763,-3.3165632737,0.2960235692,0.2960235692,1.2057921873974773j
90,-4.0732979160,4.5000000000,-3.2801314292,0.1390171209,0.1390171209,0.5662581490199458j,3.1819805153,-3.2801314292,0.2780342419,0.2780342419,1.1325162980398915j
91,-4.0732979160,4.5500000000,-3.2444522781,0.1304992408,0.1304992408,0.5315622857796359j,3.2173358544,-3.2444522781,0.2609984817,0.2609984817,1.0631245715592719j
92,-4.0732979160,4.6000000000,-3.2095067976,0.1224395629,0.1224395629,0.49873281628517946j,3.2526911935,-3.2095067976,0.2448791257,0.2448791257,0.9974656325703589j
93,-4.0732979160,4.6500000000,-3.1752761767,0.1148195416,0.1148195416,0.467694199612015j,3.2880465325,-3.1752761767,0.2296390832,0.2296390832,0.93538839922403j
